program_category,reference_species,reference_dataset,reference_gene,reference_gene_role,wolffia_ortholog_candidate,mapping_confidence,expected_wolffia_pattern,priority,notes
proliferative_or_meristematic,Arabidopsis thaliana,Jean-Baptiste_or_Shulse_root_reference,CYCB1;1,cell_cycle_G2_M_marker,CYCB1_like,medium,enriched_in_dividing_or_stem_like_cells,high,conserved_cell_cycle_family_and_good_first_pass_division_marker
proliferative_or_meristematic,Arabidopsis thaliana,Jean-Baptiste_or_Shulse_root_reference,PCNA1,DNA_replication_and_S_phase,PCNA_like,medium,enriched_in_proliferative_cells,high,broad_eukaryotic_replication_marker_with_conservative_transfer_logic
proliferative_or_meristematic,Arabidopsis thaliana,Jean-Baptiste_or_Shulse_root_reference,H4,histone_and_replication_associated_program,HISTONE_H4_like,medium,elevated_in_cells_with_active_division,high,useful_as_program_support_not_as_single_marker_only
photosynthetic_or_assimilation,Arabidopsis_thaliana,leaf_reference_layer_or_green_tissue_markers,LHCB_family,light_harvesting_complex_component,LHCB_like,medium,enriched_in_photosynthetically_active_cell_states,high,strong_gene_family_level_signal_expected_if_distinct_photosynthetic_state_exists
photosynthetic_or_assimilation,Arabidopsis_thaliana,leaf_reference_layer_or_green_tissue_markers,RBCS_family,carbon_fixation_related_small_subunit,RBCS_like,medium,elevated_in_assimilation_programs,high,best_interpreted_as_part_of_multi_gene_photosynthetic_module
photosynthetic_or_assimilation,Arabidopsis_thaliana,leaf_reference_layer_or_green_tissue_markers,PSBA_or_related_chloroplast_program,photosystem_associated_signal,photosystem_gene_like,low,broad_plastid_associated_signal_possible,medium,may_be_annotation_sensitive_but_biologically_informative
vascular_like_or_transport,Arabidopsis_thaliana,root_reference_panel,SUC2,phloem_loading_and_transport,SUC_like,medium,restricted_transport_associated_state_if_present,high,good_test_of_whether_transport_programs_are_discrete_or_merged
vascular_like_or_transport,Arabidopsis_thaliana,root_reference_panel,SWEET11_or_SWEET12,sugar_transport_family,SWEET_like,medium,enriched_in_transport_or_boundary_associated_cells,high,should_be_interpreted_at_gene_family_level_first
vascular_like_or_transport,Arabidopsis_thaliana,root_reference_panel,CESA7_or_IRX3,secondary_wall_or_vascular_specialization,CESA_like,low,possible_enrichment_if_structurally_specialized_transport_cells_exist,medium,more speculative_in_highly_reduced_plant_body
developmental_transition,Arabidopsis_thaliana,Denyer_developmental_root_reference,PLT_family,root_developmental_gradient_and_stemness,PLT_like,low,gradient_like_expression_in_early_or_transitional_states,high,useful_conceptual_marker_but_ortholog_mapping_needs_care
developmental_transition,Arabidopsis_thaliana,Denyer_developmental_root_reference,SCR,developmental_patterning_and_ground_tissue_identity,SCR_like,low,localized_or_transitional_pattern_if_conserved,medium,best_used_with_other_regulators_not_alone
developmental_transition,Arabidopsis_thaliana,Denyer_developmental_root_reference,IAA19_or_auxin_response_module,auxin_responsive_transition_program,Aux_IAA_like,medium,continuous_gradient_signal_more_likely_than_discrete_cluster,high,helps test_continuum_model_for_Wolffia_states
epidermal_or_surface_identity,Arabidopsis_thaliana,root_or_leaf_reference_layer,ML1_or_ATML1,surface_layer_identity,ATML1_like,low,possible_surface_enrichment_if_boundary_programs_are_retained,medium,keep_label_broad_due_to_morphological_reduction
epidermal_or_surface_identity,Arabidopsis_thaliana,root_or_leaf_reference_layer,PDF_family,epidermal_or_surface_associated_marker,PDF_like,low,surface_or_protective_expression_if_distinct_layer_exists,medium,useful_but_not_expected_to_be_clean_without_better_annotation
reproductive_or_floral,Arabidopsis_thaliana,floral_regulator_literature,AP1,floral_meristem_identity,AP1_like,low,likely_absent_or_condition_specific_in_baseline_vegetative_data,medium,important_for_stress_induced_or_rare_reproductive_state_search
reproductive_or_floral,Arabidopsis_thaliana,floral_regulator_literature,LFY,floral_transition_regulator,LFY_like,low,rare_or_not_detected_unless_reproductive_program_activated,medium,high_value_but_low_expectation_in_general_growth_samples
aquatic_adaptation_or_stress,duckweed_or_general_plant_stress_resources,duckweed_comparative_layer,AQP_family,water_transport_and_aquatic_interface,AQP_like,medium,broad_expression_or_specific_enrichment_under_aquatic_adaptation_context,medium,better_as_duckweed_context_marker_than_classic_cell_type_marker
aquatic_adaptation_or_stress,duckweed_or_general_plant_stress_resources,duckweed_comparative_layer,redox_or_ROS_response_module,stress_response_program,ROS_response_like,low,inducible_or_condition_specific_state,medium,likely_state_like_not_fixed_cell_type
